ID SUCURSAL,	IDENTIFICADOR SUCURSAL,	SUCURSAL,	ESTADO,	ID FABRICANTE,	FABRICANTE,	SKU	PRODUCTO,	MUNDO,	DIVISION,	DEPARTAMENTO,	CATEGORIA,	SUB CATEGORIA,	DIVISION,	SUB GUPO,	SERVICIO,	CATEGORIZACION,	EXISTENCIA,	PVD,	TRANSITO,	TIPO DISPONIBILIDAD,	ROTACION,	ACTUALIZACION
"MEMR",	"2013",	"F A DERMA MERIDA, MERIDA MONTEJO",	YUCATAN	1582	CLOROX DE MEXICO S DE RL DE CV	7,92851E+11	BURTS BEES ALL AGLOW LIP &amp; CHEEK STICK - BLUSH BAY	OTROS	NO FARMA	HIGIENE Y BELLEZA	CUIDADO DE LA PIEL	CUIDADO DE LA PIEL NATURAL	NO FARMA	PROTECCION DE LABIOS	VENTA NORMAL	REGULAR	2	0	0	DISPONIBLE A LA COMPRA	D	2019/08/20
"MEMR",	"2013",	"F A DERMA MERIDA, MERIDA MONTEJO",	YUCATAN	1582	CLOROX DE MEXICO S DE RL DE CV	7,92851E+11	BURTS BEES ALL AGLOW LIP &amp; CHEEK STICK - PEACH PON	OTROS	NO FARMA	HIGIENE Y BELLEZA	CUIDADO DE LA PIEL	CUIDADO DE LA PIEL NATURAL	NO FARMA	PROTECCION DE LABIOS	VENTA NORMAL	REGULAR	2	0	0	DISPONIBLE A LA COMPRA	D	2019/08/20
"MEMR",	"2013",	"F A DERMA MERIDA, MERIDA MONTEJO",	YUCATAN	1582	CLOROX DE MEXICO S DE RL DE CV	7,9285E+11	BURTS BEES BABY BEE LOTION ORIGINAL 170 G 0109	OTROS	NO FARMA	HIGIENE Y BELLEZA	CUIDADO DE LA PIEL	CUIDADO DE LA PIEL NATURAL	NO FARMA	BEBES	VENTA NORMAL	REGULAR	3	0	0	NO DISPONIBLE A LA COMPRA	D	2019/08/20
"MEMR",	"2013",	"F A DERMA MERIDA, MERIDA MONTEJO",	YUCATAN	1582	CLOROX DE MEXICO S DE RL DE CV	7,92851E+11	BURTS BEES BABY BEE SHAMPOO-BODY WASH ORIG 236 ML	OTROS	NO FARMA	HIGIENE Y BELLEZA	CUIDADO DE LA PIEL	CUIDADO DE LA PIEL NATURAL	NO FARMA	BEBES	VENTA NORMAL	REGULAR	2	0	0	DISPONIBLE A LA COMPRA	D	2019/08/20
"MEMR",	"2013",	"F A DERMA MERIDA, MERIDA MONTEJO",	YUCATAN	1582	CLOROX DE MEXICO S DE RL DE CV	7,9285E+11	BURTS BEES BABY DUSTING POWDER ORIGINAL 127 G 5995	OTROS	NO FARMA	HIGIENE Y BELLEZA	CUIDADO DE LA PIEL	CUIDADO DE LA PIEL NATURAL	NO FARMA	BEBES	VENTA NORMAL	REGULAR	0	0	0	NO DISPONIBLE A LA COMPRA	C	2019/08/20
"MEMR",	"2013",	"F A DERMA MERIDA, MERIDA MONTEJO",	YUCATAN	1582	CLOROX DE MEXICO S DE RL DE CV	7,9285E+11	BURTS BEES BABY FREE WIPES FRAGRANCE FREE C/72	OTROS	NO FARMA	HIGIENE Y BELLEZA	CUIDADO DE LA PIEL	CUIDADO DE LA PIEL NATURAL	NO FARMA	BEBES	VENTA NORMAL	REGULAR	3	0	0	NO DISPONIBLE A LA COMPRA	D	2019/08/20
"MEMR",	"2013",	"F A DERMA MERIDA, MERIDA MONTEJO",	YUCATAN	1582	CLOROX DE MEXICO S DE RL DE CV	7,92851E+11	BURTS BEES BB CREAM LIGHT FPS 15 48.1 GR 3740	OTROS	NO FARMA	HIGIENE Y BELLEZA	CUIDADO DE LA PIEL	CUIDADO DE LA PIEL NATURAL	NO FARMA	LOCIONES Y CREMAS FACIALES	VENTA NORMAL	REGULAR	3	0	0	NO DISPONIBLE A LA COMPRA	D	2019/08/20
"MEMR",	"2013",	"F A DERMA MERIDA, MERIDA MONTEJO",	YUCATAN	1582	CLOROX DE MEXICO S DE RL DE CV	7,92851E+11	BURTS BEES BB CREAM LIGHT TO MEDIUM 18 48.1 GR 375	OTROS	NO FARMA	HIGIENE Y BELLEZA	CUIDADO DE LA PIEL	CUIDADO DE LA PIEL NATURAL	NO FARMA	LOCIONES Y CREMAS FACIALES	VENTA NORMAL	REGULAR	3	0	0	DISPONIBLE A LA COMPRA	D	2019/08/20
"MEMR",	"2013",	"F A DERMA MERIDA, MERIDA MONTEJO",	YUCATAN	1582	CLOROX DE MEXICO S DE RL DE CV	7,92851E+11	BURTS BEES BB CREAM MEDIUM 18 48.1 GR 3764	OTROS	NO FARMA	HIGIENE Y BELLEZA	CUIDADO DE LA PIEL	CUIDADO DE LA PIEL NATURAL	NO FARMA	LOCIONES Y CREMAS FACIALES	VENTA NORMAL	REGULAR	3	0	0	NO DISPONIBLE A LA COMPRA	D	2019/08/20
"MEMR",	"2013",	"F A DERMA MERIDA, MERIDA MONTEJO",	YUCATAN	1582	CLOROX DE MEXICO S DE RL DE CV	7,9285E+11	BURTS BEES BODY LOTION COCOA-CUPUACU BUTTERS 170 G	OTROS	NO FARMA	HIGIENE Y BELLEZA	CUIDADO DE LA PIEL	CUIDADO DE LA PIEL NATURAL	NO FARMA	LOCIONES Y CREMAS CORPORALES	VENTA NORMAL	REGULAR	3	0	0	NO DISPONIBLE A LA COMPRA	D	2019/08/20
